image_id,file_name,image_url,caption,mask_url,categories,thumbnail_url
1,giraffe_1.jpg,https://picsum.photos/seed/giraffe1/400/300,A giraffe with blue color standing in the park.,https://picsum.photos/seed/giraffe1mask/400/300,giraffe,https://picsum.photos/seed/giraffe1/100/75
2,tree_2.jpg,https://picsum.photos/seed/tree2/400/300,The tree looks very large while it is jumping.,https://picsum.photos/seed/tree2mask/400/300,tree,https://picsum.photos/seed/tree2/100/75
3,chair_3.jpg,https://picsum.photos/seed/chair3/400/300,A chair with black color standing in the street.,https://picsum.photos/seed/chair3mask/400/300,chair,https://picsum.photos/seed/chair3/100/75
4,cat_4.jpg,https://picsum.photos/seed/cat4/400/300,A cat with yellow color standing in the mountain.,https://picsum.photos/seed/cat4mask/400/300,cat,https://picsum.photos/seed/cat4/100/75
5,chair_5.jpg,https://picsum.photos/seed/chair5/400/300,The chair looks very slow while it is jumping.,https://picsum.photos/seed/chair5mask/400/300,chair,https://picsum.photos/seed/chair5/100/75
6,phone_6.jpg,https://picsum.photos/seed/phone6/400/300,The phone looks very brown while it is walking.,https://picsum.photos/seed/phone6mask/400/300,phone,https://picsum.photos/seed/phone6/100/75
7,bird_7.jpg,https://picsum.photos/seed/bird7/400/300,The bird looks very angry while it is standing.,https://picsum.photos/seed/bird7mask/400/300,bird,https://picsum.photos/seed/bird7/100/75
8,bus_8.jpg,https://picsum.photos/seed/bus8/400/300,A slow bus sitting on a garden.,https://picsum.photos/seed/bus8mask/400/300,bus,https://picsum.photos/seed/bus8/100/75
9,bicycle_9.jpg,https://picsum.photos/seed/bicycle9/400/300,A angry bicycle sitting in the garden.,https://picsum.photos/seed/bicycle9mask/400/300,bicycle,https://picsum.photos/seed/bicycle9/100/75
10,flower_10.jpg,https://picsum.photos/seed/flower10/400/300,A happy flower sitting on a sofa.,https://picsum.photos/seed/flower10mask/400/300,flower,https://picsum.photos/seed/flower10/100/75
11,bicycle_11.jpg,https://picsum.photos/seed/bicycle11/400/300,The bicycle looks very brown while it is eating.,https://picsum.photos/seed/bicycle11mask/400/300,bicycle,https://picsum.photos/seed/bicycle11/100/75
12,building_12.jpg,https://picsum.photos/seed/building12/400/300,A happy building sitting on a house.,https://picsum.photos/seed/building12mask/400/300,building,https://picsum.photos/seed/building12/100/75
13,building_13.jpg,https://picsum.photos/seed/building13/400/300,A fast building sitting on a street.,https://picsum.photos/seed/building13mask/400/300,building,https://picsum.photos/seed/building13/100/75
14,bus_14.jpg,https://picsum.photos/seed/bus14/400/300,A fast bus flying in the garden.,https://picsum.photos/seed/bus14mask/400/300,bus,https://picsum.photos/seed/bus14/100/75
15,computer_15.jpg,https://picsum.photos/seed/computer15/400/300,The computer is running near the street.,https://picsum.photos/seed/computer15mask/400/300,computer,https://picsum.photos/seed/computer15/100/75
16,computer_16.jpg,https://picsum.photos/seed/computer16/400/300,A slow computer sitting on a street.,https://picsum.photos/seed/computer16mask/400/300,computer,https://picsum.photos/seed/computer16/100/75
